attendance_bucket,Category,Borough,Location,Event Name,Event Type,time_of_day,day_type,audience_1,audience_2,audience_3,audience_4,audience_5,audience_6,audience_7,audience_8
high_attendance,Sport,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,Beach Soccer Tournament,Tournament/Competition,morning_time,weekend,general_public_audience,,,,,,,
high_attendance,Sport,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,Beach Soccer Tournament,Tournament/Competition,morning_time,weekend,general_public_audience,,,,,,,
med_attendance,Fitness,Staten Island,P.S 18,She's On Point,Community Based Event,night_time,weekday,children_audience,teens_audience,,,,,,
high_attendance,Sport,Queens,Beach 82nd Street,Rockaway Classic Basketball Tournament,Community Based Event,morning_time,weekend,children_audience,teens_audience,,,,,,
high_attendance,Sport,Queens,Beach 82nd Street,Rockaway Basketball Classic,Community Based Event,morning_time,weekend,children_audience,teens_audience,,,,,,
med_attendance,Fitness,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,Twilight Run,Community Based Event,night_time,weekday,general_public_audience,,,,,,,
unknown_attendance,Fitness,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,Twilight Run,Community Based Event,night_time,weekday,general_public_audience,,,,,,,
unknown_attendance,Fitness,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,Twilight Run,Community Based Event,night_time,weekday,general_public_audience,,,,,,,
med_attendance,Fitness,Manhattan,East River Esplanade,Total Body BootCamp Workout,Community Based Event,night_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Manhattan,East River Esplanade,Total Body BootCamp,Community Based Event,night_time,weekend,adults_audience,,,,,,,
low_attendance,Fitness,Queens,Rockaway Beach and Boardwalk,Far Rockaway Beach 17th street,Community Based Event,night_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Bronx,301 W Tremont Ave,Kickboxing,Community Based Event,afternoon_time,weekend,adults_audience,,,,,,,
low_attendance,Fitness,Queens,"Far Rockaway, Beach 17",ultimate cardio,Community Based Event,morning_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Bronx,301 W Tremont Ave,Kickboxing,Community Based Event,afternoon_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Manhattan,Pier 35,Total body bootcamp,Community Based Event,morning_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Bronx,301 W Tremont Ave.,Kickboxing,Community Based Event,afternoon_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Manhattan,Pier 35,Total body bootcamp,Community Based Event,night_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Manhattan,pier 35,total body bootcamp,Community Based Event,night_time,weekday,adults_audience,,,,,,,
med_attendance,Fitness,Manhattan,pier 35,total body bootcamp,Community Based Event,night_time,weekday,adults_audience,,,,,,,
low_attendance,Fitness,Queens,queens bridge,mindful movement,Community Based Event,morning_time,weekday,adults_audience,,,,,,,
low_attendance,Fitness,Queens,queensbridge,mindful movement,Community Based Event,morning_time,weekday,adults_audience,,,,,,,
med_attendance,Fitness,Queens,beach 17 st far rockway,ultimate cardio,Community Based Event,night_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Manhattan,East River Esplanade,Shape Up NYC: Total Body BootCamp,Community Based Event,morning_time,weekend,adults_audience,,,,,,,
unknown_attendance,Fitness,Queens,Rockaway Beach and Boardwalk,Shape Up NYC: Ultimate Cardio,Community Based Event,morning_time,weekend,adults_audience,,,,,,,
unknown_attendance,Fitness,Bronx,St. Mary's Parking Lot,Trap and Spin,Open House,morning_time,weekday,adults_audience,young_adult_audience,seniors_audience,,,,,
high_attendance,Sport,Manhattan,Hamilton Fish Recreation Center,2018 Cops & Kis March Madness,Community Based Event,afternoon_time,weekend,general_public_audience,teens_audience,adults_audience,young_adult_audience,children_audience,,,
high_attendance,Sport,Queens,Beach 32nd Street,Girl's Flag Football Invitational,Community Based Event,morning_time,weekday,teens_audience,children_audience,,,,,,
high_attendance,Sport,Manhattan,Basketball City,March Madness: Cops & Kids Baksetball,Tournament/Competition,afternoon_time,weekend,children_audience,teens_audience,general_public_audience,,,,,
high_attendance,Sport,Queens,Long Island City YMCA,DOE CED Distirct 30 Healthy Kids Day,Community Based Event,night_time,weekend,children_audience,teens_audience,,,,,,
med_attendance,Fitness,Manhattan,John Jay Park,Learn to Ride,Community Based Event,morning_time,weekday,children_audience,young_adult_audience,teens_audience,,,,,
med_attendance,Sport,Queens,Grover Cleveland Park,Learn to Ride,Community Based Event,morning_time,weekend,children_audience,teens_audience,,,,,,
med_attendance,Sport,Queens,Arverne Playground,Learn to Ride,Community Based Event,morning_time,weekend,children_audience,teens_audience,,,,,,
high_attendance,Sport,Queens,Roy Wilkins Park,Queens Recreation Pickleball Tournament,Tournament/Competition,morning_time,weekend,seniors_audience,adults_audience,,,,,,
med_attendance,Fitness,Brooklyn,Leif Ericson Park,Pick UP Pickleball,Local Event,morning_time,weekday,seniors_audience,,,,,,,
high_attendance,Sport,Brooklyn,Shore Park and Parkway,Community Skate,Community Based Event,afternoon_time,weekend,general_public_audience,,,,,,,
high_attendance,Sport,Manhattan,Central Park,Adventures NYC,Agency Produced Event,morning_time,weekend,children_audience,young_adult_audience,adults_audience,teens_audience,,,,
med_attendance,Sport,Queens,Annadale,Learn to Ride,Community Based Event,morning_time,weekend,children_audience,,,,,,,
med_attendance,Fitness,Brooklyn,Leif Ericson Park,Pick Up Pickleball,Local Event,morning_time,weekday,seniors_audience,,,,,,,
